O*NET-SOC Code,Title,Element ID,Element Name,Scale ID,Scale Name,Data Value,Date,Domain Source
13-2031.00,Budget Analysts,1.B.1.f,Conventional,OI,Occupational Interests,7.00,02/2026,Machine Learning/Expert
13-2031.00,Budget Analysts,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
13-2031.00,Budget Analysts,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
13-2031.00,Budget Analysts,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
13-2041.00,Credit Analysts,1.B.1.a,Realistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
13-2041.00,Credit Analysts,1.B.1.b,Investigative,OI,Occupational Interests,3.79,02/2026,Machine Learning/Expert
13-2041.00,Credit Analysts,1.B.1.c,Artistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
13-2041.00,Credit Analysts,1.B.1.d,Social,OI,Occupational Interests,2.41,02/2026,Machine Learning/Expert
13-2041.00,Credit Analysts,1.B.1.e,Enterprising,OI,Occupational Interests,4.55,02/2026,Machine Learning/Expert
13-2041.00,Credit Analysts,1.B.1.f,Conventional,OI,Occupational Interests,6.85,02/2026,Machine Learning/Expert
13-2041.00,Credit Analysts,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
13-2041.00,Credit Analysts,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
13-2041.00,Credit Analysts,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
13-2051.00,Financial and Investment Analysts,1.B.1.a,Realistic,OI,Occupational Interests,1.00,11/2023,Machine Learning
13-2051.00,Financial and Investment Analysts,1.B.1.b,Investigative,OI,Occupational Interests,5.06,11/2023,Machine Learning
13-2051.00,Financial and Investment Analysts,1.B.1.c,Artistic,OI,Occupational Interests,1.78,11/2023,Machine Learning
13-2051.00,Financial and Investment Analysts,1.B.1.d,Social,OI,Occupational Interests,2.25,11/2023,Machine Learning
13-2051.00,Financial and Investment Analysts,1.B.1.e,Enterprising,OI,Occupational Interests,5.09,11/2023,Machine Learning
13-2051.00,Financial and Investment Analysts,1.B.1.f,Conventional,OI,Occupational Interests,5.54,11/2023,Machine Learning
13-2051.00,Financial and Investment Analysts,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,11/2023,Machine Learning
13-2051.00,Financial and Investment Analysts,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5.00,11/2023,Machine Learning
13-2051.00,Financial and Investment Analysts,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2.00,11/2023,Machine Learning
13-2052.00,Personal Financial Advisors,1.B.1.a,Realistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
13-2052.00,Personal Financial Advisors,1.B.1.b,Investigative,OI,Occupational Interests,3.27,02/2026,Machine Learning/Expert
13-2052.00,Personal Financial Advisors,1.B.1.c,Artistic,OI,Occupational Interests,1.69,02/2026,Machine Learning/Expert
13-2052.00,Personal Financial Advisors,1.B.1.d,Social,OI,Occupational Interests,4.07,02/2026,Machine Learning/Expert
13-2052.00,Personal Financial Advisors,1.B.1.e,Enterprising,OI,Occupational Interests,5.85,02/2026,Machine Learning/Expert
13-2052.00,Personal Financial Advisors,1.B.1.f,Conventional,OI,Occupational Interests,5.61,02/2026,Machine Learning/Expert
13-2052.00,Personal Financial Advisors,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
13-2052.00,Personal Financial Advisors,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
13-2052.00,Personal Financial Advisors,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,4.00,02/2026,Machine Learning/Expert
13-2053.00,Insurance Underwriters,1.B.1.a,Realistic,OI,Occupational Interests,1.72,02/2026,Machine Learning/Expert
13-2053.00,Insurance Underwriters,1.B.1.b,Investigative,OI,Occupational Interests,3.64,02/2026,Machine Learning/Expert
13-2053.00,Insurance Underwriters,1.B.1.c,Artistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
13-2053.00,Insurance Underwriters,1.B.1.d,Social,OI,Occupational Interests,2.84,02/2026,Machine Learning/Expert
13-2053.00,Insurance Underwriters,1.B.1.e,Enterprising,OI,Occupational Interests,4.50,02/2026,Machine Learning/Expert
13-2053.00,Insurance Underwriters,1.B.1.f,Conventional,OI,Occupational Interests,6.16,02/2026,Machine Learning/Expert
13-2053.00,Insurance Underwriters,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
13-2053.00,Insurance Underwriters,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
13-2053.00,Insurance Underwriters,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
13-2054.00,Financial Risk Specialists,1.B.1.a,Realistic,OI,Occupational Interests,1.67,02/2026,Machine Learning/Expert
13-2054.00,Financial Risk Specialists,1.B.1.b,Investigative,OI,Occupational Interests,4.96,02/2026,Machine Learning/Expert
13-2054.00,Financial Risk Specialists,1.B.1.c,Artistic,OI,Occupational Interests,1.31,02/2026,Machine Learning/Expert
13-2054.00,Financial Risk Specialists,1.B.1.d,Social,OI,Occupational Interests,2.48,02/2026,Machine Learning/Expert
13-2054.00,Financial Risk Specialists,1.B.1.e,Enterprising,OI,Occupational Interests,4.92,02/2026,Machine Learning/Expert
13-2054.00,Financial Risk Specialists,1.B.1.f,Conventional,OI,Occupational Interests,5.36,02/2026,Machine Learning/Expert
13-2054.00,Financial Risk Specialists,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
13-2054.00,Financial Risk Specialists,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
13-2054.00,Financial Risk Specialists,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
13-2061.00,Financial Examiners,1.B.1.a,Realistic,OI,Occupational Interests,1.34,02/2026,Machine Learning/Expert
13-2061.00,Financial Examiners,1.B.1.b,Investigative,OI,Occupational Interests,3.60,02/2026,Machine Learning/Expert
13-2061.00,Financial Examiners,1.B.1.c,Artistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
13-2061.00,Financial Examiners,1.B.1.d,Social,OI,Occupational Interests,2.50,02/2026,Machine Learning/Expert
13-2061.00,Financial Examiners,1.B.1.e,Enterprising,OI,Occupational Interests,4.63,02/2026,Machine Learning/Expert
13-2061.00,Financial Examiners,1.B.1.f,Conventional,OI,Occupational Interests,6.40,02/2026,Machine Learning/Expert
13-2061.00,Financial Examiners,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
13-2061.00,Financial Examiners,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
13-2061.00,Financial Examiners,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
13-2071.00,Credit Counselors,1.B.1.a,Realistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
13-2071.00,Credit Counselors,1.B.1.b,Investigative,OI,Occupational Interests,2.65,02/2026,Machine Learning/Expert
13-2071.00,Credit Counselors,1.B.1.c,Artistic,OI,Occupational Interests,1.80,02/2026,Machine Learning/Expert
13-2071.00,Credit Counselors,1.B.1.d,Social,OI,Occupational Interests,4.89,02/2026,Machine Learning/Expert
13-2071.00,Credit Counselors,1.B.1.e,Enterprising,OI,Occupational Interests,4.73,02/2026,Machine Learning/Expert
13-2071.00,Credit Counselors,1.B.1.f,Conventional,OI,Occupational Interests,5.35,02/2026,Machine Learning/Expert
13-2071.00,Credit Counselors,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
13-2071.00,Credit Counselors,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,4.00,02/2026,Machine Learning/Expert
13-2071.00,Credit Counselors,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
13-2072.00,Loan Officers,1.B.1.a,Realistic,OI,Occupational Interests,1.43,02/2026,Machine Learning/Expert
13-2072.00,Loan Officers,1.B.1.b,Investigative,OI,Occupational Interests,2.32,02/2026,Machine Learning/Expert
13-2072.00,Loan Officers,1.B.1.c,Artistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
13-2072.00,Loan Officers,1.B.1.d,Social,OI,Occupational Interests,3.65,02/2026,Machine Learning/Expert
13-2072.00,Loan Officers,1.B.1.e,Enterprising,OI,Occupational Interests,4.98,02/2026,Machine Learning/Expert
13-2072.00,Loan Officers,1.B.1.f,Conventional,OI,Occupational Interests,6.08,02/2026,Machine Learning/Expert
13-2072.00,Loan Officers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
13-2072.00,Loan Officers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
13-2072.00,Loan Officers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,4.00,02/2026,Machine Learning/Expert
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",1.B.1.a,Realistic,OI,Occupational Interests,1.21,02/2026,Machine Learning/Expert
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",1.B.1.b,Investigative,OI,Occupational Interests,2.47,02/2026,Machine Learning/Expert
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",1.B.1.c,Artistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",1.B.1.d,Social,OI,Occupational Interests,3.15,02/2026,Machine Learning/Expert
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",1.B.1.e,Enterprising,OI,Occupational Interests,4.38,02/2026,Machine Learning/Expert
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",1.B.1.f,Conventional,OI,Occupational Interests,6.85,02/2026,Machine Learning/Expert
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
13-2082.00,Tax Preparers,1.B.1.a,Realistic,OI,Occupational Interests,2.17,02/2026,Machine Learning/Expert
13-2082.00,Tax Preparers,1.B.1.b,Investigative,OI,Occupational Interests,2.38,02/2026,Machine Learning/Expert
13-2082.00,Tax Preparers,1.B.1.c,Artistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
13-2082.00,Tax Preparers,1.B.1.d,Social,OI,Occupational Interests,2.26,02/2026,Machine Learning/Expert
13-2082.00,Tax Preparers,1.B.1.e,Enterprising,OI,Occupational Interests,3.38,02/2026,Machine Learning/Expert
13-2082.00,Tax Preparers,1.B.1.f,Conventional,OI,Occupational Interests,6.79,02/2026,Machine Learning/Expert
13-2082.00,Tax Preparers,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
13-2082.00,Tax Preparers,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
13-2082.00,Tax Preparers,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
13-2099.01,Financial Quantitative Analysts,1.B.1.a,Realistic,OI,Occupational Interests,1.63,02/2026,Machine Learning/Expert
13-2099.01,Financial Quantitative Analysts,1.B.1.b,Investigative,OI,Occupational Interests,6.67,02/2026,Machine Learning/Expert
13-2099.01,Financial Quantitative Analysts,1.B.1.c,Artistic,OI,Occupational Interests,1.85,02/2026,Machine Learning/Expert
13-2099.01,Financial Quantitative Analysts,1.B.1.d,Social,OI,Occupational Interests,1.58,02/2026,Machine Learning/Expert
13-2099.01,Financial Quantitative Analysts,1.B.1.e,Enterprising,OI,Occupational Interests,3.45,02/2026,Machine Learning/Expert
13-2099.01,Financial Quantitative Analysts,1.B.1.f,Conventional,OI,Occupational Interests,5.79,02/2026,Machine Learning/Expert
13-2099.01,Financial Quantitative Analysts,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
13-2099.01,Financial Quantitative Analysts,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
13-2099.01,Financial Quantitative Analysts,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
13-2099.04,"Fraud Examiners, Investigators and Analysts",1.B.1.a,Realistic,OI,Occupational Interests,2.01,02/2026,Machine Learning/Expert
13-2099.04,"Fraud Examiners, Investigators and Analysts",1.B.1.b,Investigative,OI,Occupational Interests,4.67,02/2026,Machine Learning/Expert
13-2099.04,"Fraud Examiners, Investigators and Analysts",1.B.1.c,Artistic,OI,Occupational Interests,1.22,02/2026,Machine Learning/Expert
13-2099.04,"Fraud Examiners, Investigators and Analysts",1.B.1.d,Social,OI,Occupational Interests,1.95,02/2026,Machine Learning/Expert
13-2099.04,"Fraud Examiners, Investigators and Analysts",1.B.1.e,Enterprising,OI,Occupational Interests,4.57,02/2026,Machine Learning/Expert
13-2099.04,"Fraud Examiners, Investigators and Analysts",1.B.1.f,Conventional,OI,Occupational Interests,5.62,02/2026,Machine Learning/Expert
13-2099.04,"Fraud Examiners, Investigators and Analysts",1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
13-2099.04,"Fraud Examiners, Investigators and Analysts",1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
13-2099.04,"Fraud Examiners, Investigators and Analysts",1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,5.00,02/2026,Machine Learning/Expert
15-1211.00,Computer Systems Analysts,1.B.1.a,Realistic,OI,Occupational Interests,3.27,02/2026,Machine Learning/Expert
15-1211.00,Computer Systems Analysts,1.B.1.b,Investigative,OI,Occupational Interests,6.39,02/2026,Machine Learning/Expert
15-1211.00,Computer Systems Analysts,1.B.1.c,Artistic,OI,Occupational Interests,1.98,02/2026,Machine Learning/Expert
15-1211.00,Computer Systems Analysts,1.B.1.d,Social,OI,Occupational Interests,1.91,02/2026,Machine Learning/Expert
15-1211.00,Computer Systems Analysts,1.B.1.e,Enterprising,OI,Occupational Interests,2.23,02/2026,Machine Learning/Expert
15-1211.00,Computer Systems Analysts,1.B.1.f,Conventional,OI,Occupational Interests,5.93,02/2026,Machine Learning/Expert
15-1211.00,Computer Systems Analysts,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
15-1211.00,Computer Systems Analysts,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
15-1211.00,Computer Systems Analysts,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
15-1211.01,Health Informatics Specialists,1.B.1.a,Realistic,OI,Occupational Interests,2.84,02/2026,Machine Learning/Expert
15-1211.01,Health Informatics Specialists,1.B.1.b,Investigative,OI,Occupational Interests,6.29,02/2026,Machine Learning/Expert
15-1211.01,Health Informatics Specialists,1.B.1.c,Artistic,OI,Occupational Interests,1.99,02/2026,Machine Learning/Expert
15-1211.01,Health Informatics Specialists,1.B.1.d,Social,OI,Occupational Interests,4.52,02/2026,Machine Learning/Expert
15-1211.01,Health Informatics Specialists,1.B.1.e,Enterprising,OI,Occupational Interests,2.08,02/2026,Machine Learning/Expert
15-1211.01,Health Informatics Specialists,1.B.1.f,Conventional,OI,Occupational Interests,4.71,02/2026,Machine Learning/Expert
15-1211.01,Health Informatics Specialists,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
15-1211.01,Health Informatics Specialists,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
15-1211.01,Health Informatics Specialists,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,4.00,02/2026,Machine Learning/Expert
15-1212.00,Information Security Analysts,1.B.1.a,Realistic,OI,Occupational Interests,3.56,02/2026,Machine Learning/Expert
15-1212.00,Information Security Analysts,1.B.1.b,Investigative,OI,Occupational Interests,5.40,02/2026,Machine Learning/Expert
15-1212.00,Information Security Analysts,1.B.1.c,Artistic,OI,Occupational Interests,1.34,02/2026,Machine Learning/Expert
15-1212.00,Information Security Analysts,1.B.1.d,Social,OI,Occupational Interests,2.11,02/2026,Machine Learning/Expert
15-1212.00,Information Security Analysts,1.B.1.e,Enterprising,OI,Occupational Interests,2.85,02/2026,Machine Learning/Expert
15-1212.00,Information Security Analysts,1.B.1.f,Conventional,OI,Occupational Interests,6.08,02/2026,Machine Learning/Expert
15-1212.00,Information Security Analysts,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
15-1212.00,Information Security Analysts,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
15-1212.00,Information Security Analysts,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
15-1221.00,Computer and Information Research Scientists,1.B.1.a,Realistic,OI,Occupational Interests,3.74,02/2026,Machine Learning/Expert
15-1221.00,Computer and Information Research Scientists,1.B.1.b,Investigative,OI,Occupational Interests,7.00,02/2026,Machine Learning/Expert
15-1221.00,Computer and Information Research Scientists,1.B.1.c,Artistic,OI,Occupational Interests,2.95,02/2026,Machine Learning/Expert
15-1221.00,Computer and Information Research Scientists,1.B.1.d,Social,OI,Occupational Interests,2.00,02/2026,Machine Learning/Expert
15-1221.00,Computer and Information Research Scientists,1.B.1.e,Enterprising,OI,Occupational Interests,2.49,02/2026,Machine Learning/Expert
15-1221.00,Computer and Information Research Scientists,1.B.1.f,Conventional,OI,Occupational Interests,4.80,02/2026,Machine Learning/Expert
15-1221.00,Computer and Information Research Scientists,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
15-1221.00,Computer and Information Research Scientists,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
15-1221.00,Computer and Information Research Scientists,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
15-1231.00,Computer Network Support Specialists,1.B.1.a,Realistic,OI,Occupational Interests,4.38,02/2026,Machine Learning/Expert
15-1231.00,Computer Network Support Specialists,1.B.1.b,Investigative,OI,Occupational Interests,4.61,02/2026,Machine Learning/Expert
15-1231.00,Computer Network Support Specialists,1.B.1.c,Artistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
15-1231.00,Computer Network Support Specialists,1.B.1.d,Social,OI,Occupational Interests,2.28,02/2026,Machine Learning/Expert
15-1231.00,Computer Network Support Specialists,1.B.1.e,Enterprising,OI,Occupational Interests,2.64,02/2026,Machine Learning/Expert
15-1231.00,Computer Network Support Specialists,1.B.1.f,Conventional,OI,Occupational Interests,5.45,02/2026,Machine Learning/Expert
15-1231.00,Computer Network Support Specialists,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
15-1231.00,Computer Network Support Specialists,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
15-1231.00,Computer Network Support Specialists,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,1.00,02/2026,Machine Learning/Expert
15-1232.00,Computer User Support Specialists,1.B.1.a,Realistic,OI,Occupational Interests,4.13,02/2026,Machine Learning/Expert
15-1232.00,Computer User Support Specialists,1.B.1.b,Investigative,OI,Occupational Interests,3.77,02/2026,Machine Learning/Expert
15-1232.00,Computer User Support Specialists,1.B.1.c,Artistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
15-1232.00,Computer User Support Specialists,1.B.1.d,Social,OI,Occupational Interests,3.31,02/2026,Machine Learning/Expert
15-1232.00,Computer User Support Specialists,1.B.1.e,Enterprising,OI,Occupational Interests,2.36,02/2026,Machine Learning/Expert
15-1232.00,Computer User Support Specialists,1.B.1.f,Conventional,OI,Occupational Interests,6.02,02/2026,Machine Learning/Expert
15-1232.00,Computer User Support Specialists,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
15-1232.00,Computer User Support Specialists,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,1.00,02/2026,Machine Learning/Expert
15-1232.00,Computer User Support Specialists,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
15-1241.00,Computer Network Architects,1.B.1.a,Realistic,OI,Occupational Interests,4.04,02/2026,Machine Learning/Expert
15-1241.00,Computer Network Architects,1.B.1.b,Investigative,OI,Occupational Interests,5.28,02/2026,Machine Learning/Expert
15-1241.00,Computer Network Architects,1.B.1.c,Artistic,OI,Occupational Interests,2.25,02/2026,Machine Learning/Expert
15-1241.00,Computer Network Architects,1.B.1.d,Social,OI,Occupational Interests,2.17,02/2026,Machine Learning/Expert
15-1241.00,Computer Network Architects,1.B.1.e,Enterprising,OI,Occupational Interests,3.20,02/2026,Machine Learning/Expert
15-1241.00,Computer Network Architects,1.B.1.f,Conventional,OI,Occupational Interests,5.06,02/2026,Machine Learning/Expert
15-1241.00,Computer Network Architects,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
15-1241.00,Computer Network Architects,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
15-1241.00,Computer Network Architects,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,1.00,02/2026,Machine Learning/Expert
15-1241.01,Telecommunications Engineering Specialists,1.B.1.a,Realistic,OI,Occupational Interests,4.54,02/2026,Machine Learning/Expert
15-1241.01,Telecommunications Engineering Specialists,1.B.1.b,Investigative,OI,Occupational Interests,4.29,02/2026,Machine Learning/Expert
15-1241.01,Telecommunications Engineering Specialists,1.B.1.c,Artistic,OI,Occupational Interests,1.90,02/2026,Machine Learning/Expert
15-1241.01,Telecommunications Engineering Specialists,1.B.1.d,Social,OI,Occupational Interests,2.31,02/2026,Machine Learning/Expert
15-1241.01,Telecommunications Engineering Specialists,1.B.1.e,Enterprising,OI,Occupational Interests,3.07,02/2026,Machine Learning/Expert
15-1241.01,Telecommunications Engineering Specialists,1.B.1.f,Conventional,OI,Occupational Interests,4.95,02/2026,Machine Learning/Expert
15-1241.01,Telecommunications Engineering Specialists,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
15-1241.01,Telecommunications Engineering Specialists,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,1.00,02/2026,Machine Learning/Expert
15-1241.01,Telecommunications Engineering Specialists,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
15-1242.00,Database Administrators,1.B.1.a,Realistic,OI,Occupational Interests,2.83,02/2026,Machine Learning/Expert
15-1242.00,Database Administrators,1.B.1.b,Investigative,OI,Occupational Interests,4.83,02/2026,Machine Learning/Expert
15-1242.00,Database Administrators,1.B.1.c,Artistic,OI,Occupational Interests,1.20,02/2026,Machine Learning/Expert
15-1242.00,Database Administrators,1.B.1.d,Social,OI,Occupational Interests,2.29,02/2026,Machine Learning/Expert
15-1242.00,Database Administrators,1.B.1.e,Enterprising,OI,Occupational Interests,2.94,02/2026,Machine Learning/Expert
15-1242.00,Database Administrators,1.B.1.f,Conventional,OI,Occupational Interests,6.61,02/2026,Machine Learning/Expert
15-1242.00,Database Administrators,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
15-1242.00,Database Administrators,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
15-1242.00,Database Administrators,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
15-1243.00,Database Architects,1.B.1.a,Realistic,OI,Occupational Interests,2.63,02/2026,Machine Learning/Expert
15-1243.00,Database Architects,1.B.1.b,Investigative,OI,Occupational Interests,5.63,02/2026,Machine Learning/Expert
15-1243.00,Database Architects,1.B.1.c,Artistic,OI,Occupational Interests,2.16,02/2026,Machine Learning/Expert
15-1243.00,Database Architects,1.B.1.d,Social,OI,Occupational Interests,1.91,02/2026,Machine Learning/Expert
15-1243.00,Database Architects,1.B.1.e,Enterprising,OI,Occupational Interests,2.68,02/2026,Machine Learning/Expert
15-1243.00,Database Architects,1.B.1.f,Conventional,OI,Occupational Interests,6.12,02/2026,Machine Learning/Expert
15-1243.00,Database Architects,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
15-1243.00,Database Architects,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
15-1243.00,Database Architects,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
15-1243.01,Data Warehousing Specialists,1.B.1.a,Realistic,OI,Occupational Interests,2.93,02/2026,Machine Learning/Expert
15-1243.01,Data Warehousing Specialists,1.B.1.b,Investigative,OI,Occupational Interests,4.79,02/2026,Machine Learning/Expert
15-1243.01,Data Warehousing Specialists,1.B.1.c,Artistic,OI,Occupational Interests,1.62,02/2026,Machine Learning/Expert
15-1243.01,Data Warehousing Specialists,1.B.1.d,Social,OI,Occupational Interests,2.03,02/2026,Machine Learning/Expert
15-1243.01,Data Warehousing Specialists,1.B.1.e,Enterprising,OI,Occupational Interests,3.05,02/2026,Machine Learning/Expert
15-1243.01,Data Warehousing Specialists,1.B.1.f,Conventional,OI,Occupational Interests,6.38,02/2026,Machine Learning/Expert
15-1243.01,Data Warehousing Specialists,1.B.1.g,First Interest High-Point,IH,Occupational Interest High-Point,6.00,02/2026,Machine Learning/Expert
15-1243.01,Data Warehousing Specialists,1.B.1.h,Second Interest High-Point,IH,Occupational Interest High-Point,2.00,02/2026,Machine Learning/Expert
15-1243.01,Data Warehousing Specialists,1.B.1.i,Third Interest High-Point,IH,Occupational Interest High-Point,0.00,02/2026,Machine Learning/Expert
15-1244.00,Network and Computer Systems Administrators,1.B.1.a,Realistic,OI,Occupational Interests,4.19,02/2026,Machine Learning/Expert
15-1244.00,Network and Computer Systems Administrators,1.B.1.b,Investigative,OI,Occupational Interests,4.04,02/2026,Machine Learning/Expert
15-1244.00,Network and Computer Systems Administrators,1.B.1.c,Artistic,OI,Occupational Interests,1.00,02/2026,Machine Learning/Expert
15-1244.00,Network and Computer Systems Administrators,1.B.1.d,Social,OI,Occupational Interests,2.22,02/2026,Machine Learning/Expert
