O*NET-SOC Code,Title,Task ID,Task,Task Type,Incumbents Responding,Date,Domain Source
11-3121.00,Human Resources Managers,996,Conduct exit interviews to identify reasons for employee termination.,Core,22,08/2025,Occupational Expert
11-3121.00,Human Resources Managers,1003,"Oversee the evaluation, classification, and rating of occupations and job positions.",Core,22,08/2025,Occupational Expert
11-3121.00,Human Resources Managers,992,"Analyze training needs to design employee development, language training, and health and safety programs.",Core,22,08/2025,Occupational Expert
11-3121.00,Human Resources Managers,984,"Allocate human resources, ensuring appropriate matches between personnel.",Core,22,08/2025,Occupational Expert
11-3121.00,Human Resources Managers,1000,Prepare personnel forecast to project employment needs.,Core,22,08/2025,Occupational Expert
11-3121.00,Human Resources Managers,1004,"Study legislation, arbitration decisions, and collective bargaining contracts to assess industry trends.",Core,22,08/2025,Occupational Expert
11-3121.00,Human Resources Managers,1005,"Develop or administer special projects in areas such as pay equity, savings bond programs, day care, and employee awards.",Core,22,08/2025,Occupational Expert
11-3121.00,Human Resources Managers,1002,"Develop, administer, and evaluate applicant tests.",Supplemental,22,08/2025,Occupational Expert
11-3121.00,Human Resources Managers,1007,"Contract with vendors to provide employee services, such as food service, transportation, or relocation service.",Supplemental,22,08/2025,Occupational Expert
11-3121.00,Human Resources Managers,1006,Provide terminated employees with outplacement or relocation assistance.,Supplemental,22,08/2025,Occupational Expert
11-3131.00,Training and Development Managers,1015,Analyze training needs to develop new training programs or modify and improve existing programs.,Core,28,08/2024,Occupational Expert
11-3131.00,Training and Development Managers,1009,"Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement.",Core,28,08/2024,Occupational Expert
11-3131.00,Training and Development Managers,1014,"Plan, develop, and provide training and staff development programs, using knowledge of the effectiveness of methods such as classroom training, demonstrations, on-the-job training, meetings, conferences, and workshops.",Core,28,08/2024,Occupational Expert
11-3131.00,Training and Development Managers,1012,"Confer with management and conduct surveys to identify training needs based on projected production processes, changes, and other factors.",Core,28,08/2024,Occupational Expert
11-3131.00,Training and Development Managers,1008,Conduct orientation sessions and arrange on-the-job training for new hires.,Core,28,08/2024,Occupational Expert
11-3131.00,Training and Development Managers,1017,Train instructors and supervisors in techniques and skills for training and dealing with employees.,Core,28,08/2024,Occupational Expert
11-3131.00,Training and Development Managers,1013,"Develop and organize training manuals, multimedia visual aids, and other educational materials.",Core,28,08/2024,Occupational Expert
11-3131.00,Training and Development Managers,1019,Prepare training budget for department or organization.,Core,28,08/2024,Occupational Expert
11-3131.00,Training and Development Managers,1010,Develop testing and evaluation procedures.,Core,28,08/2024,Occupational Expert
11-3131.00,Training and Development Managers,1011,Conduct or arrange for ongoing technical training and personal development classes for staff members.,Core,28,08/2024,Occupational Expert
11-3131.00,Training and Development Managers,1016,Review and evaluate training and apprenticeship programs for compliance with government standards.,Core,27,08/2024,Occupational Expert
11-3131.00,Training and Development Managers,1018,"Coordinate established courses with technical and professional courses provided by community schools, and designate training procedures.",Supplemental,28,08/2024,Occupational Expert
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21370,"Collect and record growth, production, and environmental data.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21371,"Manage nurseries that grow horticultural plants for sale to trade or retail customers, for display or exhibition, or for research.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21372,"Direct and monitor trapping and spawning of fish, egg incubation, and fry rearing, applying knowledge of management and fish culturing techniques.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21373,"Direct and monitor the transfer of mature fish to lakes, ponds, streams, or commercial tanks.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21374,"Determine how to allocate resources and to respond to unanticipated problems, such as insect infestation, drought, and fire.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21375,"Determine plant growing conditions, such as greenhouses, hydroponics, or natural settings, and set planting and care schedules.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21376,"Devise and participate in activities to improve fish hatching and growth rates, and to prevent disease in hatcheries.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21377,"Position and regulate plant irrigation systems, and program environmental and irrigation control computers.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21378,Prepare reports required by state and federal laws.,Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21379,"Inspect facilities and equipment for signs of disrepair, and perform necessary maintenance work.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21380,"Maintain financial, operational, production, or employment records for farms or ranches.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21381,"Coordinate clerical, record-keeping, inventory, requisitioning, and marketing activities.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21382,"Direct the breeding or raising of stock, such as cattle, poultry, or honeybees, using recognized breeding practices to ensure stock improvement.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21383,"Negotiate with buyers for the sale, storage, or shipment of crops or livestock.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21384,Coordinate the selection and maintenance of brood stock.,Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21385,Analyze soil to determine types or quantities of fertilizer required for maximum crop production.,Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21386,"Provide information to customers on the care of trees, shrubs, flowers, plants, and lawns.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21387,Analyze market conditions to determine acreage allocations.,Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21388,"Supervise the construction of farm or ranch structures, such as buildings, fences, drainage systems, wells, or roads.",Core,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21389,"Replace chemical insecticides with environmentally friendly practices, such as adding pest-repelling plants to fields.",Supplemental,,11/2020,Analyst - Transition
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21390,Conduct inspections to determine crop maturity or condition or to detect disease or insect infestation.,,,11/2020,Analyst
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21391,Conduct or supervise stock examinations to identify diseases or parasites.,,,11/2020,Analyst
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21392,"Determine types or quantities of crops, plants, or livestock to be grown and raised, based on budgets, federal incentives, market conditions, executive directives, projected sales volumes, or soil conditions.",,,11/2020,Analyst
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21393,"Determine, administer, and execute policies relating to operations administration and standards, facility maintenance, and safety.",,,11/2020,Analyst
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21394,"Direct crop production operations, such as planning, tilling, planting, fertilizing, cultivating, spraying, and harvesting.",,,11/2020,Analyst
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21395,Evaluate marketing or sales alternatives for products.,,,11/2020,Analyst
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21396,"Hire, supervise, and train support workers.",,,11/2020,Analyst
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21397,"Monitor activities, such as irrigation, chemical application, harvesting, milking, breeding, and grading, to ensure adherence to safety regulations or standards.",,,11/2020,Analyst
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21398,Monitor environments to ensure maintenance of optimum animal or plant life.,,,11/2020,Analyst
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",21399,"Obtain financing for and purchase necessary machinery, land, supplies, or livestock.",,,11/2020,Analyst
11-9021.00,Construction Managers,3318,Inspect or review projects to monitor compliance with building and safety codes or other regulations.,Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,3327,Develop or implement quality control programs.,Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,20332,"Plan, schedule, or coordinate construction project activities to meet deadlines.",Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,3326,"Prepare and submit budget estimates, progress reports, or cost tracking reports.",Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,20340,Direct and supervise construction or related workers.,Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,3317,Determine labor requirements for dispatching workers to construction sites.,Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,3314,"Confer with supervisory personnel, owners, contractors, or design professionals to discuss and resolve matters, such as work procedures, complaints, or construction problems.",Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,20334,"Prepare contracts or negotiate revisions to contractual agreements with architects, consultants, clients, suppliers, or subcontractors.",Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,3323,Study job specifications to determine appropriate construction methods.,Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,3315,"Plan, organize, or direct activities concerned with the construction or maintenance of structures, facilities, or systems.",Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,20339,"Contract or oversee craft work, such as painting or plumbing.",Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,20333,"Investigate damage, accidents, or delays at construction sites to ensure that proper construction procedures are being followed.",Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,20336,"Interpret and explain plans and contract terms to representatives of the owner or developer, including administrative staff, workers, or clients.",Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,20335,"Implement new or modified plans in response to delays, bad weather, or construction site emergencies.",Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,3325,Requisition supplies or materials to complete construction projects.,Core,19,08/2025,Occupational Expert
11-9021.00,Construction Managers,20337,Apply for and obtain all necessary permits or licenses.,Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,19523,"Perform, or contract others to perform, pre-building assessments, such as conceptual cost estimating, rough order of magnitude estimating, feasibility, or energy efficiency, environmental, and sustainability assessments.",Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,20338,"Evaluate construction methods and determine cost-effectiveness of plans, using computer models.",Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,19522,Inspect or review projects to monitor compliance with environmental regulations.,Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,19520,Develop or implement environmental protection programs.,Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,19524,"Secure third-party verification from sources, such as Leadership in Energy Efficient Design (LEED), to ensure responsible design and building activities or to achieve favorable LEED ratings for building projects.",Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,19521,Implement training programs on environmentally responsible building topics to update employee skills and knowledge.,Core,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,19519,"Develop construction budgets to compare green and non-green construction alternatives, in terms of short-term costs, long-term costs, or environmental impacts.",Supplemental,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,19518,Apply green building strategies to reduce energy costs or minimize carbon output or other sources of harm to the environment.,Supplemental,20,08/2025,Occupational Expert
11-9021.00,Construction Managers,3331,Direct acquisition of land for construction projects.,Supplemental,20,08/2025,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5198,"Recruit, hire, train, and evaluate primary and supplemental staff and recommend personnel actions for programs and services.",Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5193,Confer with parents and staff to discuss educational activities and policies and students' behavioral or learning problems.,Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5204,Teach classes or courses or provide direct care to children.,Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5197,"Determine allocations of funds for staff, supplies, materials, and equipment and authorize purchases.",Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5199,"Direct and coordinate activities of teachers or administrators at daycare centers, schools, public agencies, or institutions.",Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5196,Monitor students' progress and provide students and teachers with assistance in resolving any problems.,Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5202,Determine the scope of educational program offerings and prepare drafts of program schedules and descriptions to estimate staffing and facility requirements.,Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5203,"Review and evaluate new and current programs to determine their efficiency, effectiveness, and compliance with state, local, and federal regulations and recommend any necessary modifications.",Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5194,"Prepare and maintain attendance, activity, planning, accounting, or personnel reports and records for officials and agencies, or direct preparation and maintenance activities.",Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5201,"Review and interpret government codes and develop procedures to meet codes and to ensure facility safety, security, and maintenance.",Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5195,"Set educational standards and goals and help establish policies, procedures, and programs to carry them out.",Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5205,Prepare and submit budget requests or grant proposals to solicit program funding.,Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5200,"Plan, direct, and monitor instructional methods and content of educational, vocational, or student activity programs.",Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5207,"Collect and analyze survey data, regulatory information, and demographic and employment trends to forecast enrollment patterns and the need for curriculum changes.",Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5209,"Organize and direct committees of specialists, volunteers, and staff to provide technical and advisory assistance for programs.",Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5206,"Write articles, manuals, and other publications and assist in the distribution of promotional literature about programs and facilities.",Core,38,08/2026,Occupational Expert
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",5208,"Inform businesses, community groups, and governmental agencies about educational needs, available programs, and program policies.",Core,38,08/2026,Occupational Expert
11-9032.00,"Education Administrators, Kindergarten through Secondary",5215,"Counsel and provide guidance to students regarding personal, academic, vocational, or behavioral issues.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5212,"Confer with parents and staff to discuss educational activities, policies, and student behavior or learning problems.",Core,117,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5226,Observe teaching methods and examine learning materials to evaluate and standardize curricula and teaching techniques and to determine areas for improvement.,Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5234,"Determine the scope of educational program offerings, and prepare drafts of course schedules and descriptions to estimate staffing and facility requirements.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5225,Enforce discipline and attendance rules.,Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5224,"Recruit, hire, train, and evaluate primary and supplemental staff.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5232,"Collaborate with teachers to develop and maintain curriculum standards, develop mission statements, and set performance goals and objectives.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5223,"Set educational standards and goals, and help establish policies and procedures to carry them out.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5222,"Evaluate curricula, teaching methods, and programs to determine their effectiveness, efficiency, and use, and to ensure compliance with federal, state, and local regulations.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",18587,"Plan and lead professional development activities for teachers, administrators, and support staff.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",21040,"Create school improvement plans, using student performance data.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5229,"Determine allocations of funds for staff, supplies, materials, and equipment, and authorize purchases.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5221,"Direct and coordinate activities of teachers, administrators, and support staff at schools, public agencies, and institutions.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5213,"Prepare and submit budget requests and recommendations, or grant proposals to solicit program funding.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5219,"Plan and develop instructional methods and content for educational, vocational, or student activity programs.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5217,Teach classes or courses to students.,Core,117,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",18588,"Participate in special education-related activities, such as attending meetings and providing support to special educators throughout the district.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5211,"Prepare, maintain, or oversee the preparation and maintenance of attendance, activity, planning, or personnel reports and records.",Core,117,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5231,Recommend personnel actions related to programs and services.,Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",18589,"Meet with federal, state, and local agencies to stay abreast of policies and to discuss improvements for education programs.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5210,"Review and approve new programs, or recommend modifications to existing programs, submitting program proposals for school board approval as necessary.",Core,117,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5216,"Organize and direct committees of specialists, volunteers, and staff to provide technical and advisory assistance for programs.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",18591,"Coordinate and direct extracurricular activities and programs, such as after-school events and athletic contests.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5230,"Write articles, manuals, and other publications, and assist in the distribution of promotional literature about facilities and programs.",Core,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",18592,"Mentor and support administrative staff members, such as superintendents and principals.",Supplemental,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5233,"Collect and analyze survey data, regulatory information, and data on demographic and employment trends to forecast enrollment patterns and curriculum change needs.",Supplemental,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5218,"Advocate for new schools to be built, or for existing facilities to be repaired or remodeled.",Supplemental,117,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5227,"Establish, coordinate, and oversee particular programs across school districts, such as programs to evaluate student academic achievement.",Supplemental,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",18590,"Plan, coordinate, and oversee school logistics programs, such as bus and food services.",Supplemental,117,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5228,"Review and interpret government codes, and develop programs to ensure adherence to codes and facility safety, security, and maintenance.",Supplemental,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5220,"Develop partnerships with businesses, communities, and other organizations to help meet identified educational needs and to provide school-to-work programs.",Supplemental,118,08/2026,Incumbent
11-9032.00,"Education Administrators, Kindergarten through Secondary",5214,Direct and coordinate school maintenance services and the use of school facilities.,Supplemental,118,08/2026,Incumbent
11-9033.00,"Education Administrators, Postsecondary",21041,Design or use assessments to monitor student learning outcomes.,Core,114,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5235,"Recruit, hire, train, and terminate departmental personnel.",Core,114,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",18594,"Direct, coordinate, and evaluate the activities of personnel, including support staff engaged in administering academic institutions, departments, or alumni organizations.",Core,113,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",18593,"Advise students on issues such as course selection, progress toward graduation, and career decisions.",Core,114,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5236,"Plan, administer, and control budgets, maintain financial records, and produce financial reports.",Core,114,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",18595,Formulate strategic plans for the institution.,Core,113,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5240,"Establish operational policies and procedures and make any necessary modifications, based on analysis of operations, demographics, and other research information.",Core,114,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5239,"Provide assistance to faculty and staff in duties such as teaching classes, conducting orientation programs, issuing transcripts, and scheduling events.",Core,113,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5237,"Represent institutions at community and campus events, in meetings with other institution personnel, and during accreditation processes.",Core,114,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",21042,Prepare reports on academic or institutional data.,Core,113,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",18596,"Promote the university by participating in community, state, and national events or meetings, and by developing partnerships with industry and secondary education institutions.",Core,113,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5238,Participate in faculty and college committee activities.,Core,114,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5243,"Direct activities of administrative departments, such as admissions, registration, and career services.",Supplemental,114,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5242,"Appoint individuals to faculty positions, and evaluate their performance.",Supplemental,113,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5244,"Develop curricula, and recommend curricula revisions and additions.",Supplemental,112,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5246,Consult with government regulatory and licensing agencies to ensure the institution's conformance with applicable standards.,Supplemental,114,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5249,"Participate in student recruitment, selection, and admission, making admissions recommendations when required to do so.",Supplemental,114,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5245,"Determine course schedules, and coordinate teaching assignments and room assignments to ensure optimum use of buildings and equipment.",Supplemental,113,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5248,Teach courses within their department.,Supplemental,113,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5250,"Review student misconduct reports requiring disciplinary action, and counsel students regarding such reports.",Supplemental,113,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5255,"Review registration statistics, and consult with faculty officials to develop registration policies.",Supplemental,114,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5241,Confer with other academic staff to explain and formulate admission requirements and course credit policies.,Supplemental,113,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5253,"Direct scholarship, fellowship, and loan programs, performing activities such as selecting recipients and distributing aid.",Supplemental,114,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5259,"Direct and participate in institutional fundraising activities, and encourage alumni participation in such activities.",Supplemental,114,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5254,"Coordinate the production and dissemination of university publications, such as course catalogs and class schedules.",Supplemental,114,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",18597,"Write grants to procure external funding, and supervise grant-funded projects.",Supplemental,113,08/2018,Incumbent
11-9033.00,"Education Administrators, Postsecondary",5258,"Plan and promote sporting events and social, cultural, and recreational activities.",Supplemental,113,08/2018,Incumbent
11-9041.00,Architectural and Engineering Managers,20170,Manage the coordination and overall integration of technical activities in architecture or engineering projects.,Core,59,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,20171,"Direct, review, or approve project design changes.",Core,60,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,1071,Consult or negotiate with clients to prepare project specifications.,Core,59,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,20172,"Prepare budgets, bids, or contracts.",Core,59,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,1070,"Present and explain proposals, reports, or findings to clients.",Core,60,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,1060,"Confer with management, production, or marketing staff to discuss project specifications or procedures.",Core,60,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,20173,"Assess project feasibility by analyzing technology, resource needs, or market demand.",Core,59,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,20175,"Review, recommend, or approve contracts or cost estimates.",Core,59,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,20176,"Develop or implement policies, standards, or procedures for engineering and technical work.",Core,59,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,20178,Establish scientific or technical goals within broad outlines provided by top management.,Core,60,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,20174,"Direct recruitment, placement, and evaluation of architecture or engineering project staff.",Core,60,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,20177,"Perform administrative functions, such as reviewing or writing reports, approving expenditures, enforcing rules, or purchasing of materials or services.",Core,60,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,19525,Develop or implement programs to improve sustainability or reduce the environmental impacts of engineering or architecture activities or operations.,Core,60,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,19527,"Evaluate the environmental impacts of engineering, architecture, or research and development activities.",Core,60,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,1063,"Plan or direct the installation, testing, operation, maintenance, or repair of facilities or equipment.",Supplemental,60,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,19528,Identify environmental threats or opportunities associated with the development and launch of new technologies.,Supplemental,59,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,20180,"Plan, direct, or coordinate survey work with other project activities.",Supplemental,58,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,19526,Evaluate environmental regulations or social pressures related to environmental issues to inform strategic or operational decision-making.,Supplemental,60,08/2020,Incumbent
11-9041.00,Architectural and Engineering Managers,20179,Solicit project support by conferring with officials or providing information to the public.,Supplemental,60,08/2020,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15574,"Design or conduct applied biodiesel or biofuels research projects on topics, such as transport, thermodynamics, mixing, filtration, distillation, fermentation, extraction, and separation.",Core,99,07/2014,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15578,"Analyze data from biofuels studies, such as fluid dynamics, water treatments, or solvent extraction and recovery processes.",Core,100,07/2014,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15567,"Prepare, or oversee the preparation of, experimental plans for biofuels research or development.",Core,100,07/2014,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15566,Provide technical or scientific guidance to technical staff in the conduct of biofuels research or development.,Core,100,07/2014,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15580,"Propose new biofuels products, processes, technologies or applications based on findings from applied biofuels or biomass research projects.",Core,100,07/2014,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15576,Conduct experiments on biomass or pretreatment technologies.,Core,99,07/2014,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15568,Prepare biofuels research and development reports for senior management or technical professionals.,Core,99,07/2014,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15563,"Develop lab scale models of industrial scale processes, such as fermentation.",Core,100,07/2014,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15579,Oversee biodiesel/biofuels prototyping or development projects.,Core,99,07/2014,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15577,Conduct experiments to test new or alternate feedstock fermentation processes.,Core,100,07/2014,Incumbent
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,15572,Develop methods to estimate the efficiency of biomass pretreatments.,Supplemental,100,07/2014,Incumbent
